Date,Python,Matlab
2004-01,32,32
2004-02,32,40
2004-03,32,40
2004-04,32,41
2004-05,32,36
2004-06,32,34
2004-07,32,31
2004-08,33,28
2004-09,32,35
2004-10,32,39
2004-11,29,37
2004-12,30,30
2005-01,31,29
2005-02,32,33
2005-03,31,34
2005-04,30,35
2005-05,33,32
2005-06,32,29
2005-07,32,24
2005-08,31,22
2005-09,30,29
2005-10,35,33
2005-11,31,32
2005-12,29,25
2006-01,30,24
2006-02,30,29
2006-03,29,30
2006-04,29,29
2006-05,28,28
2006-06,28,24
2006-07,29,20
2006-08,29,19
2006-09,31,24
2006-10,29,28
2006-11,29,28
2006-12,28,22
2007-01,29,22
2007-02,28,24
2007-03,30,26
2007-04,28,26
2007-05,29,25
2007-06,28,22
2007-07,29,19
2007-08,29,18
2007-09,28,23
2007-10,29,26
2007-11,28,27
2007-12,27,21
2008-01,26,20
2008-02,26,22
2008-03,26,24
2008-04,29,26
2008-05,28,24
2008-06,27,21
2008-07,27,18
2008-08,27,16
2008-09,28,22
2008-10,28,26
2008-11,27,25
2008-12,27,21
2009-01,27,20
2009-02,29,24
2009-03,30,26
2009-04,29,27
2009-05,27,24
2009-06,28,22
2009-07,28,19
2009-08,28,18
2009-09,28,23
2009-10,29,27
2009-11,28,28
2009-12,25,23
2010-01,26,22
2010-02,27,23
2010-03,29,28
2010-04,28,28
2010-05,27,26
2010-06,27,23
2010-07,25,18
2010-08,25,17
2010-09,26,23
2010-10,28,27
2010-11,27,27
2010-12,26,21
2011-01,26,20
2011-02,27,24
2011-03,28,26
2011-04,28,26
2011-05,27,24
2011-06,27,21
2011-07,27,18
2011-08,27,17
2011-09,27,22
2011-10,28,25
2011-11,28,27
2011-12,26,21
2012-01,26,20
2012-02,29,24
2012-03,29,26
2012-04,28,25
2012-05,28,24
2012-06,27,20
2012-07,28,17
2012-08,28,17
2012-09,29,22
2012-10,31,25
2012-11,30,25
2012-12,26,19
2013-01,29,19
2013-02,32,22
2013-03,32,23
2013-04,32,25
2013-05,31,22
2013-06,30,19
2013-07,31,17
2013-08,32,16
2013-09,32,22
2013-10,35,25
2013-11,36,26
2013-12,31,20
2014-01,33,20
2014-02,35,24
2014-03,36,25
2014-04,36,26
2014-05,35,23
2014-06,33,19
2014-07,34,17
2014-08,31,16
2014-09,36,22
2014-10,38,26
2014-11,37,26
2014-12,34,20
2015-01,35,19
2015-02,39,24
2015-03,40,25
2015-04,40,25
2015-05,37,22
2015-06,40,19
2015-07,38,17
2015-08,37,16
2015-09,42,21
2015-10,45,25
2015-11,43,26
2015-12,40,20
2016-01,45,20
2016-02,51,25
2016-03,52,26
2016-04,52,27
2016-05,51,24
2016-06,51,20
2016-07,47,16
2016-08,47,16
2016-09,54,21
2016-10,56,25
2016-11,59,26
2016-12,54,21
2017-01,58,20
2017-02,67,25
2017-03,71,27
2017-04,66,25
2017-05,65,23
2017-06,65,18
2017-07,62,16
2017-08,63,15
2017-09,70,20
2017-10,74,24
2017-11,76,25
2017-12,68,19
2018-01,71,18
2018-02,78,21
2018-03,77,22
2018-04,79,23
2018-05,76,20
2018-06,76,17
2018-07,75,16
2018-08,76,15
2018-09,80,19
2018-10,88,23
2018-11,84,22
2018-12,74,17
2019-01,79,17
2019-02,88,20
2019-03,87,20
2019-04,90,21
2019-05,86,19
2019-06,88,17
2019-07,91,16
2019-08,88,15
2019-09,100,19
2019-10,100,21
2019-11,100,21
2019-12,97,20
