EMG1,EMG11,EMG5,IM EMG13
-2.61e-05,2.8699999999999996e-05,3.8e-06,3.85e-06
-2.54e-05,2.8999999999999997e-05,2.35e-06,3.85e-06
-2.46e-05,2.9100000000000003e-05,3.46e-06,3.18e-06
-2.3899999999999998e-05,2.84e-05,5.93e-06,3.18e-06
-2.3800000000000003e-05,2.84e-05,6.9e-06,2.3e-06
-2.4100000000000003e-05,2.84e-05,6.21e-06,-1.32e-06
-2.5300000000000002e-05,2.8100000000000002e-05,6.83e-06,-1.32e-06
-2.59e-05,2.9999999999999997e-05,9.46e-06,-1.72e-08
-2.57e-05,2.8899999999999998e-05,1.07e-05,-1.72e-08
-2.57e-05,2.7300000000000003e-05,1.12e-05,-1.2e-06
-2.57e-05,2.8000000000000003e-05,1.09e-05,-1.2e-06
-2.61e-05,2.9199999999999998e-05,9.8e-06,-2.98e-06
-2.6300000000000002e-05,2.8100000000000002e-05,7.46e-06,-2.98e-06
-2.3800000000000003e-05,2.9600000000000005e-05,4.21e-06,-4.2700000000000005e-07
-1.9600000000000002e-05,3.04e-05,6.65e-07,-6.54e-06
-1.7e-05,3.07e-05,-9.520000000000001e-07,-6.54e-06
-1.7100000000000002e-05,2.7899999999999997e-05,1.33e-06,-6e-06
-1.73e-05,3.01e-05,6.01e-06,-6e-06
-1.4599999999999999e-05,2.8699999999999996e-05,9.99e-06,-2.89e-06
-1.09e-05,2.95e-05,1.13e-05,-2.89e-06
-9.58e-06,2.94e-05,1.06e-05,-5.2e-06
-1.05e-05,3.02e-05,1e-05,-5.2e-06
-1.23e-05,2.97e-05,8.24e-06,-5.13e-06
-1.29e-05,2.8899999999999998e-05,6.43e-06,1.8899999999999999e-07
-1.3800000000000002e-05,2.8100000000000002e-05,5.66e-06,1.8899999999999999e-07
-1.6e-05,2.8600000000000004e-05,5.74e-06,1.64e-06
-1.84e-05,2.9199999999999998e-05,5.12e-06,1.64e-06
-1.9699999999999998e-05,2.9299999999999997e-05,3.3e-06,-8.39e-07
-2.0399999999999998e-05,2.8600000000000004e-05,1.45e-06,-8.39e-07
-2.1e-05,2.8100000000000002e-05,1.58e-06,-8.25e-07
-2.13e-05,2.84e-05,3.72e-06,-8.25e-07
-2.18e-05,2.8600000000000004e-05,5.96e-06,1.6300000000000002e-07
-2.2800000000000002e-05,2.8699999999999996e-05,7.39e-06,-2.16e-07
-2.3100000000000002e-05,2.8999999999999997e-05,7.92e-06,-2.16e-07
-2.3199999999999998e-05,2.8899999999999998e-05,8.44e-06,-3.52e-06
-2.27e-05,2.68e-05,8.33e-06,-3.52e-06
-2.1600000000000003e-05,2.75e-05,7.24e-06,-3.5e-06
-2.13e-05,2.78e-05,5.87e-06,-3.5e-06
-2.1e-05,2.7399999999999995e-05,5.91e-06,-1.79e-06
-1.9699999999999998e-05,2.8199999999999998e-05,6.17e-06,-1.79e-06
-1.89e-05,2.9600000000000005e-05,5.69e-06,2.03e-06
-1.8e-05,2.72e-05,5.2e-06,2.87e-06
-1.7100000000000002e-05,2.9100000000000003e-05,4.23e-06,2.87e-06
-1.7100000000000002e-05,2.94e-05,1.85e-06,3.86e-06
-1.67e-05,2.7600000000000003e-05,-1.77e-06,3.86e-06
-1.62e-05,2.9100000000000003e-05,-3.47e-06,3.99e-06
-1.57e-05,2.72e-05,-1.77e-06,3.99e-06
-1.55e-05,2.8100000000000002e-05,2.46e-06,1.7e-06
-1.58e-05,2.8899999999999998e-05,5.65e-06,1.7e-06
-1.6800000000000002e-05,2.8300000000000003e-05,6.02e-06,3.53e-06
-1.8e-05,2.8000000000000003e-05,5.65e-06,4.09e-06
-1.9600000000000002e-05,2.8499999999999998e-05,6.18e-06,4.09e-06
-2.12e-05,2.8300000000000003e-05,6.85e-06,-3.17e-06
-2.25e-05,2.7699999999999996e-05,7.24e-06,-3.17e-06
-2.37e-05,2.7899999999999997e-05,8.17e-06,-2.15e-06
-2.42e-05,2.84e-05,9.14e-06,-2.15e-06
-2.3199999999999998e-05,2.7600000000000003e-05,9.17e-06,1.4299999999999999e-08
-2.18e-05,2.78e-05,8.9e-06,1.4299999999999999e-08
-2.11e-05,2.8800000000000002e-05,9.08e-06,9.709999999999999e-07
-2.0600000000000003e-05,2.84e-05,9.51e-06,-1.56e-06
