ASISr_X,ASISr_Y,ASISr_Z,ASISl_X,ASISl_Y,ASISl_Z,PSISr_X,PSISr_Y,PSISr_Z,PSISl_X,PSISl_Y,PSISl_Z
667.12,305.79900000000004,175.209,753.439,75.9487,187.75900000000001,853.113,301.62,220.298,889.7739999999999,195.835,220.271
667.1260000000001,305.767,175.218,753.482,75.9486,187.771,853.133,301.635,220.291,889.807,195.847,220.257
667.1419999999999,305.738,175.22,753.548,75.9596,187.77900000000002,853.1419999999999,301.655,220.27599999999998,889.8489999999999,195.873,220.237
667.154,305.71299999999997,175.238,753.6030000000001,75.9542,187.791,853.155,301.68,220.253,889.8760000000001,195.908,220.22299999999998
667.1669999999999,305.677,175.24900000000002,753.666,75.9612,187.801,853.178,301.7,220.236,889.916,195.949,220.218
667.176,305.64099999999996,175.25599999999997,753.735,75.959,187.81,853.194,301.738,220.21,889.967,195.989,220.209
667.184,305.612,175.262,753.818,75.9603,187.822,853.204,301.772,220.19,890.02,196.044,220.19
667.198,305.58,175.274,753.885,75.9629,187.826,853.211,301.818,220.173,890.073,196.08700000000002,220.178
667.2,305.545,175.28099999999998,753.966,75.9687,187.83700000000002,853.221,301.858,220.15400000000002,890.12,196.144,220.165
667.212,305.506,175.28400000000002,754.057,75.9745,187.84400000000002,853.2310000000001,301.908,220.14700000000002,890.166,196.199,220.15
667.2239999999999,305.48,175.28799999999998,754.135,75.9672,187.84799999999998,853.2330000000001,301.95099999999996,220.132,890.202,196.265,220.14700000000002
667.2289999999999,305.44599999999997,175.28599999999997,754.2180000000001,75.9695,187.859,853.257,302.007,220.125,890.265,196.324,220.138
667.245,305.437,175.28400000000002,754.2919999999999,75.9875,187.861,853.268,302.051,220.11700000000002,890.309,196.385,220.139
667.2560000000001,305.42400000000004,175.278,754.367,75.9997,187.864,853.278,302.089,220.114,890.3539999999999,196.43400000000003,220.13400000000001
667.284,305.41700000000003,175.267,754.442,76.0208,187.87,853.304,302.133,220.12900000000002,890.387,196.47799999999998,220.142
667.297,305.42900000000003,175.252,754.4939999999999,76.0493,187.864,853.324,302.16200000000003,220.13,890.422,196.517,220.153
667.328,305.438,175.24,754.546,76.0782,187.852,853.34,302.194,220.13,890.4639999999999,196.55900000000003,220.15900000000002
667.3480000000001,305.461,175.227,754.5939999999999,76.1202,187.84,853.3689999999999,302.224,220.142,890.4939999999999,196.578,220.166
667.3919999999999,305.47900000000004,175.201,754.622,76.1428,187.832,853.398,302.24,220.149,890.533,196.59099999999998,220.18099999999998
667.4069999999999,305.519,175.187,754.654,76.183,187.81799999999998,853.426,302.249,220.157,890.553,196.595,220.2
667.435,305.559,175.157,754.6619999999999,76.2062,187.801,853.461,302.254,220.18099999999998,890.576,196.6,220.215
667.466,305.607,175.13099999999997,754.663,76.2417,187.773,853.495,302.252,220.199,890.5889999999999,196.602,220.229
667.5,305.66200000000003,175.1,754.6619999999999,76.2858,187.757,853.518,302.255,220.23,890.5880000000001,196.59,220.25400000000002
667.5310000000001,305.716,175.067,754.6469999999999,76.3232,187.732,853.546,302.249,220.253,890.6030000000001,196.582,220.28400000000002
667.556,305.776,175.04,754.6189999999999,76.3642,187.71200000000002,853.567,302.24,220.282,890.586,196.56400000000002,220.303
667.579,305.841,175.00799999999998,754.5939999999999,76.4182,187.687,853.5980000000001,302.22900000000004,220.31,890.578,196.544,220.325
667.602,305.904,174.967,754.562,76.4734,187.674,853.61,302.221,220.34,890.574,196.511,220.35
667.607,305.974,174.93900000000002,754.518,76.5369,187.65599999999998,853.625,302.21,220.378,890.548,196.49,220.38400000000001
667.62,306.031,174.91099999999997,754.4680000000001,76.5946,187.65400000000002,853.637,302.199,220.391,890.5319999999999,196.46200000000002,220.403
667.6289999999999,306.08299999999997,174.878,754.421,76.6471,187.648,853.6469999999999,302.189,220.422,890.533,196.44799999999998,220.429
667.627,306.142,174.86,754.3839999999999,76.6984,187.641,853.6410000000001,302.194,220.44,890.508,196.429,220.442
667.62,306.193,174.829,754.335,76.7381,187.641,853.6310000000001,302.193,220.447,890.487,196.421,220.458
667.6139999999999,306.243,174.804,754.285,76.7867,187.65200000000002,853.6189999999999,302.197,220.458,890.46,196.418,220.465
667.591,306.286,174.783,754.2410000000001,76.8393,187.653,853.6160000000001,302.20799999999997,220.45,890.427,196.43099999999998,220.457
667.565,306.329,174.762,754.197,76.8801,187.667,853.595,302.225,220.442,890.3989999999999,196.445,220.457
667.538,306.366,174.738,754.1469999999999,76.9287,187.68599999999998,853.573,302.242,220.423,890.377,196.455,220.45
667.4939999999999,306.405,174.72099999999998,754.1139999999999,76.9813,187.687,853.547,302.283,220.41099999999997,890.3489999999999,196.488,220.449
667.453,306.43,174.709,754.07,77.0221,187.704,853.528,302.32099999999997,220.396,890.332,196.512,220.435
667.423,306.471,174.701,754.045,77.0593,187.718,853.4860000000001,302.355,220.368,890.289,196.551,220.416
667.38,306.493,174.706,754.02,77.0975,187.731,853.448,302.407,220.361,890.2710000000001,196.611,220.41
667.34,306.522,174.706,753.985,77.126,187.739,853.427,302.459,220.34900000000002,890.243,196.67,220.396
667.305,306.551,174.71,753.954,77.1344,187.745,853.4010000000001,302.522,220.342,890.191,196.715,220.385
667.263,306.578,174.707,753.913,77.137,187.743,853.3660000000001,302.564,220.33900000000003,890.132,196.763,220.37099999999998
667.2330000000001,306.59,174.69099999999997,753.857,77.1452,187.72099999999998,853.0930000000001,302.507,220.24200000000002,890.092,196.80700000000002,220.37400000000002
667.19,306.613,174.687,753.801,77.1474,187.705,853.0310000000001,302.518,220.25599999999997,890.0219999999999,196.815,220.385
667.1569999999999,306.616,174.676,753.7289999999999,77.1356,187.688,852.988,302.522,220.268,889.94,196.817,220.398
667.1260000000001,306.623,174.65200000000002,753.6289999999999,77.1257,187.62900000000002,852.929,302.508,220.28400000000002,889.868,196.805,220.428
667.0880000000001,306.625,174.61700000000002,753.5110000000001,77.0962,187.58700000000002,852.8760000000001,302.478,220.31599999999997,889.757,196.766,220.46400000000003
667.034,306.647,174.56900000000002,753.365,77.0732,187.533,852.812,302.425,220.36,889.6339999999999,196.708,220.517
666.9810000000001,306.654,174.50799999999998,753.21,77.0657,187.48,852.755,302.376,220.428,889.495,196.635,220.59099999999998
666.877,306.644,174.45,753.03,77.0603,187.455,852.7760000000001,302.334,220.542,889.346,196.533,220.672
666.7539999999999,306.6,174.363,752.847,77.0628,187.424,852.775,302.275,220.638,889.198,196.417,220.74900000000002
666.758,306.716,174.356,752.6439999999999,77.06,187.38299999999998,852.449,302.11,220.63099999999997,889.0360000000001,196.283,220.834
666.689,306.726,174.271,752.443,77.0484,187.354,852.3560000000001,302.015,220.697,888.8960000000001,196.145,220.908
